id,text_description
264260,товары товары хозяйственные техника бытовая посуда одноразовая пластмассовая
264261,товары товары строительные унитазы фурнитура и комплектующие к дверям и воротам прочие товары хозяйственные техника бытовая метлы ерши щетки для уборки
264265,товары товары строительные металлоизделия готовые прочие
264268,товары мебель общего назначения кресла
264298,товары цветы растения товары для озеленения рассада цветочная средства по уходу и содержанию цветов и растений
264299,товары товары строительные запчасти и комплектующие для отопительного оборудования прочие фурнитура для сантехничекого оборудования изделия расходные строительные прочие трубы и детали трубопроводов из черных металлов краны шаровые трубы и детали трубопроводов прочие
264301,средства лекарственные и материалы применяемые в медицинских целях средства лекарственные и материалы применяемые в медицинских целях антисептики и дезинфицирующие препараты
264305,товары товары строительные кондиционеры бытовые
264307,товары изделия текстильные ткани ткани нити текстильные нити текстильные пряжа
264310,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны огнетушители ручные
264318,товары товары хозяйственные техника бытовая инвентарь уборочный пластмассовый инвентарь уборочный инвентарь садовый металлический
264319,товары товары медицинские sars коронавирус антитела иммуноглобулин а iga igg igm ивд набор иммунохроматографический анализ экспресс-анализ
264321,товары товары медицинские салфетки дезинфицирующие средства дезинфицирующие для поверхностей и индикаторные полоски к ним средства для дезинфекции и очистки медицинских изделий и индикаторные полоски к ним
264326,товары мебель общего назначения перегородки
264327,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны инвентарь для спасательных служб и служб гражданской обороны прочий
264337,изделия резиновые и пластмассовые изделия пластмассовые прочие принадлежности канцелярские или школьные пластмассовые
264358,товары товары строительные краски
264360,товары товары строительные приборы отопительные электрические бытовые
264367,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх прочее оборудование и инвентарь для жкх
264383,товары товары для учреждений культуры и искусства материалы для лепки и скульптуры папки для рисования набор карандашей цветных восковых мелки
264389,товары товары строительные радиаторы запчасти и комплектующие для отопительного оборудования прочие
264403,товары товары строительные арматура электротехническая оборудование электротехническое инструмент мерительный электронный оптический и электронно-оптический кабели электрические строительные кабели электрические строительные кабели электрические строительные
264414,товары товары медицинские бахилы медицинские
264417,продукты пищевые молоко и молочная продукция ряженка и варенец продукты кисломолочные прочие кроме сметаны не включенные в другие группировки
264440,товары товары медицинские реагенты и расходные материалы для анализаторов advia centaur xp
264443,товары изделия канцелярские бумага и бумажные изделия бумага для офисной техники
264447,товары товары хозяйственные техника бытовая средства дезинфицирующие хозяйственные
264448,товары товары строительные арматура электротехническая арматура электротехническая оборудование электротехническое кабели электрические строительные кабели электрические строительные товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение щиты распределительные
264453,товары товары хозяйственные техника бытовая сушилки для рук инвентарь уборочный пластмассовый метлы ерши щетки для уборки тряпки для уборки салфетки насадки для уборки средства чистящие средства чистящие средства моющие кроме предназначенных для стирки средства для посудомоечных машин средства для дезодорирования и ароматизации воздуха бумага туалетная бумага туалетная бумажные изделия санитарно-гигиенического и хозяйственного назначения изделия бумажные гигиенического и хозяйственного назначения мешки чехлы пакеты сумки полимерные
264467,товары продукты пищевые молоко питьевое
264479,изделия готовые прочие изделия готовые прочие не включенные в другие группировки штемпели для датирования запечатывания или нумерации и аналогичные изделия
264482,товары товары хозяйственные техника бытовая мешки чехлы пакеты сумки полимерные
264486,товары системы охраны наблюдения обеспечения безопасности видеокамеры для систем видеонаблюдения и охраны системы видеоконтроля видеонаблюдения и оборудование для них
264490,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение устройства хранения данных дисковые автономные внешние жесткие диски модули оперативной памяти электронные компоненты и комплектующие информационно-технологического оборудования
264495,товары товары хозяйственные техника бытовая расходные материалы комплектующие запасные части для оборудования для уборки расходные материалы комплектующие запасные части для оборудования бытового прочего
264506,товары товары строительные оборудование насосное
264509,товары товары хозяйственные техника бытовая метеостанции бытовые
264518,
264519,товары изделия канцелярские бумага и бумажные изделия журналы канцелярские тетрадь ученическая общая ручки канцелярские маркеры карандаши чернографитные карандаши механические стержни для карандашей механических ластики степлеры сшиватели расшиватели документов материалы расходные для сшивания и переплета документов металлические нити ленты прошивные принадлежности для досок и флипчартов скрепки канцелярские скобы для степлеров зажимы для бумаг резинки бухгалтерские линейки печати круглые самонаборные подушки штемпельные
264526,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение системы электропитания
264527,товары мебель общего назначения фурнитура мебельная
264538,товары мебель общего назначения стулья
264540,товары товары хозяйственные техника бытовая перчатки рукавицы хозяйственные брезентовые трикотажные
264544,бумага и изделия из бумаги бумага и картон бумага для аппаратов и приборов
264549,товары товары строительные арматура электротехническая кабели электрические строительные кабели электрические строительные
264560,изделия готовые прочие изделия готовые прочие изделия медицинские в том числе хирургические прочие не включенные в другие группировки
264561,товары товары медицинские источники бесперебойного питания
264562,изделия резиновые и пластмассовые шины покрышки и камеры резиновые восстановление протекторов и резиновых шин шины и покрышки пневматические для легковых автомобилей новые
264564,товары товары строительные кабели электрические строительные
264568,товары товары хозяйственные техника бытовая лента клейкая упаковочная
264576,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу
264582,товары изделия канцелярские бумага и бумажные изделия папки пластиковые конверты почтовые
264588,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение электронные компоненты и комплектующие информационно-технологического оборудования
264590,товары товары хозяйственные техника бытовая полотенца текстильные
264598,товары одежда включая форменную обувь галантерея головные уборы уборы головные фурнитура для одежды фурнитура для одежды фурнитура для одежды фурнитура для одежды знаки различия наплечные нарукавные кокарды нашивки аксессуары
264604,оборудование электрическое электродвигатели генераторы и трансформаторы генераторы постоянного тока
264607,товары товары медицинские фармацевтические субстанции и вспомогательные вещества используемые для аптечного изготовления лекарственных препаратов
264615,товары товары хозяйственные техника бытовая бумага туалетная бумажные изделия санитарно-гигиенического и хозяйственного назначения часы настенные
264619,товары товары хозяйственные техника бытовая инвентарь уборочный пластмассовый метлы ерши щетки для уборки перчатки хозяйственные резиновые салфетки насадки для уборки средства моющие кроме предназначенных для стирки мыло туалетное жидкое
264632,товары мебель общего назначения стеллажи стеллажи стеллажи
264646,товары товары спортивные товары для общефизической подготовки
264650,
264655,товары мебель общего назначения сейфы
264660,товары товары хозяйственные техника бытовая наборы игровые кроме конструкторов
264662,товары товары хозяйственные техника бытовая посуда одноразовая пластмассовая
264665,товары товары медицинские бахилы медицинские аптечки медицинские
264666,товары изделия канцелярские бумага и бумажные изделия сувениры и награды
264673,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх кусторезы
264677,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое аппараты телефонные прочие устройства и аппаратура для передачи и приема речи изображений или других данных включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи например локальных и глобальных сетях
264684,товары товары строительные арматура электротехническая
264718,товары товары хозяйственные техника бытовая приборы столовые кухонные металлические
264724,товары товары для образовательных организаций стулья кресла для образовательных организаций
264733,товары изделия канцелярские бумага и бумажные изделия бланки
264750,товары товары хозяйственные техника бытовая принадлежности для шитья и рукоделия металлические принадлежности для шитья и рукоделия пластмассовые товары для детского творчества изделия текстильные нити текстильные
264756,товары товары строительные арматура электротехническая
264767,товары товары хозяйственные техника бытовая часы настенные
264770,товары изделия текстильные ткани
264773,товары одежда включая форменную обувь галантерея головные уборы одежда специальная для защиты от общих производственных загрязнений и механических воздействий спецодежда специальная экипировка
264775,товары мебель общего назначения стулья тумбы тумбы шкафы вешалки мебель общего назначения мебель общего назначения мебель общего назначения
264790,товары товары строительные шуруповерты аккумуляторные электрорубанки инструмент ручной столярный слесарный инструмент ручной строительный инструмент ручной малярный инструмент ручной инструмент ручной инструмент ручной инструмент мерительный электронный оптический и электронно-оптический инструмент мерительный ручной сверла и буры сверла и буры биты для шуруповертов метизы крепежные изделия лента строительная адгезивная изделия расходные строительные прочие
264800,изделия резиновые и пластмассовые шины покрышки и камеры резиновые восстановление протекторов и резиновых шин шины и покрышки пневматические для легковых автомобилей новые
264807,товары товары для учреждений культуры и искусства материалы и изделия культурного назначения прочие
264810,товары товары медицинские наборы педиатрического внутривенного катетера для катетеризации по методу сельдингера для взрослых
264819,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу
264820,товары мебель общего назначения фурнитура мебельная
264824,товары системы охраны наблюдения обеспечения безопасности прочее оборудование систем охраны обеспечения безопасности
264826,бумага и изделия из бумаги бумага и картон бумага печатная прочая
264829,товары изделия канцелярские бумага и бумажные изделия бумага для офисной техники бумага для плоттеров и копировальных работ
264840,товары товары хозяйственные техника бытовая посуда одноразовая пластмассовая
264841,товары товары хозяйственные техника бытовая салфетки насадки для уборки изделия бумажные гигиенического и хозяйственного назначения посуда одноразовая пластмассовая мешки пакеты сумки бумажные лента клейкая упаковочная
264848,товары товары строительные приборы учета электроэнергии
264853,товары товары медицинские текстиль и полимерные изделия медицинские однократного применения
264856,
264858,товары изделия канцелярские бумага и бумажные изделия бланки
264863,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу
264869,товары товары строительные кабели электрические строительные
264870,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое машины вычислительные электронные цифровые прочие содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных запоминающие устройства устройства ввода устройства вывода мониторы подключаемые к компьютеру
264871,товары изделия канцелярские бумага и бумажные изделия материалы расходные для сшивания и переплета документов пластиковые материалы расходные для сшивания и переплета документов пластиковые материалы расходные для сшивания и переплета документов пластиковые материалы расходные для сшивания и переплета документов картонные
264880,товары товары для учреждений культуры и искусства краски для рисования кисти художественные материалы для лепки и скульптуры
264883,товары товары медицинские составные и заменяемые части принадлежности и комплектующие для основного оборудования для анестезиологического обеспечения поддержки замещения и восстановления функций органов и систем
264889,товары товары спортивные спортивное оборудование и инвентарь
264891,товары товары для образовательных организаций пособия учебные наглядные за исключением печатных материалы расходные для учебного оборудования
264900,товары изделия канцелярские бумага и бумажные изделия стенды таблички карманы информационные
264903,товары товары медицинские маски медицинские нестерильные одноразовые
264905,товары товары строительные фильтры для систем кондиционирования
264906,товары товары хозяйственные техника бытовая средства чистящие
264909,товары мебель общего назначения фурнитура мебельная фурнитура мебельная
264911,товары товары медицинские аптечки медицинские
264926,товары товары спортивные спортивное оборудование и инвентарь для единоборств
264928,товары мебель общего назначения тумбы этажерки
264939,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для лазерных принтеров и мфу
264948,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы аккумуляторы кроме предназначенных для информационно-технологических устройств аккумуляторы кроме предназначенных для информационно-технологических устройств аккумуляторы кроме предназначенных для информационно-технологических устройств
264954,товары товары хозяйственные техника бытовая инвентарь садовый металлический инвентарь садовый пластмассовый
264959,товары товары медицинские шприцы инъекционные
264966,товары товары строительные пиломатериалы
264978,товары товары спортивные оборудование и инвентарь для атлетики оборудование и инвентарь для пауэрлифтинга
264984,товары товары медицинские расходные материалы для высокоэффективной жидкостной хроматографии вэжх
264990,товары оборудование энергетическое осветительные приборы горюче-смазочные материалы блоки питания кроме блоков питания для информационно-технологических устройств оборудование для создания световых эффектов технические средства освещения светильник светодиодный внутреннего освещения светильник с лампами накаливания внутреннего освещения фонари уличные
264998,товары оборудование производственное и технологическое холодильники кухонные профессиональные
265008,товары изделия канцелярские бумага и бумажные изделия карандаши чернографитные клеи канцелярские
265010,товары товары для противопожарных аварийно-спасательных служб и служб гражданской обороны инвентарь для спасательных служб и служб гражданской обороны прочий
265015,товары товары строительные материалы и конструкции строительные кроме быстровозводимых
265020,товары товары строительные материалы теплоизоляционные
265028,товары изделия канцелярские бумага и бумажные изделия фотобумага
265041,товары товары строительные металлопрокат из черных металлов кроме рельсов материалы гидроизоляционные материалы гидроизоляционные
265049,товары товары медицинские эндопротезы суставов для первичного эндопротезирирования
265052,товары одежда включая форменную обувь галантерея головные уборы товары галантерейные прочие
265057,изделия резиновые и пластмассовые шины покрышки и камеры резиновые восстановление протекторов и резиновых шин шины и покрышки пневматические для легковых автомобилей новые
265062,товары товары медицинские контрастные вещества v08
265069,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх материалы противогололедные фрикционные
265072,товары товары хозяйственные техника бытовая бумага туалетная изделия бумажные гигиенического и хозяйственного назначения
265083,товары литература и полиграфическая продукция плакаты
265086,оборудование компьютерное электронное и оптическое оборудование компьютерное электронное и оптическое части и принадлежности звукового и видеооборудования
265093,товары товары строительные наборы инструментов
265094,средства лекарственные и материалы применяемые в медицинских целях средства лекарственные и материалы применяемые в медицинских целях препараты диагностические
265111,товары товары для учреждений культуры и искусства запасные части к цифровым 3d кинопроекторам запасные части к видеопроекторам для кинотеатров
265120,товары товары хозяйственные техника бытовая печи микроволновые холодильники бытовые
265126,продукты пищевые продукты пищевые прочие не включенные в другие группировки продукты пищевые прочие не включенные в другие группировки
265135,товары мебель общего назначения столы
265140,оборудование электрическое оборудование электрическое устройства осветительные электрические подвесные потолочные встраиваемые и настенные предназначенные для использования со светодиодными лампами и прочими светодиодными источниками света
265144,товары товары хозяйственные техника бытовая наборы игровые кроме конструкторов игрушки спортивные игрушки развивающие игрушки и игровое оборудование игрушки прочие товары детские кроме одежды прочие
265158,товары изделия канцелярские бумага и бумажные изделия бланки сувениры и награды
265166,вещества химические и продукты химические вещества химические и продукты химические средства дезинфекционные
265172,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх газонокосилки
265186,товары изделия канцелярские бумага и бумажные изделия флаги вымпелы прочая флажная продукция
265201,товары товары спортивные оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для гимнастики спортивной художественной спортивной аэробики шейпинга оборудование и инвентарь для атлетики оборудование и инвентарь для атлетики
265204,товары изделия канцелярские бумага и бумажные изделия дипломы грамоты открытки кроме почтовых сувениры и награды
265209,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение электронные компоненты и комплектующие информационно-технологического оборудования
265236,товары изделия канцелярские бумага и бумажные изделия папки пластиковые файлы-вкладыши пластиковые ручки канцелярские лотки накопители для бумаг пластиковые материалы расходные для сшивания и переплета документов картонные доски магнитно-маркерные доски информационные флипчарты системы демонстрационные
265239,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение накопители твердотельные в формате флеш-карты cf sd memory card и др usb-накопители твердотельные флеш-драйвы
265242,товары товары строительные лаки материалы уплотняющие герметики клеи
265245,услуги издательские услуги по изданию книг книги брошюры листовки печатные прочие и подобные печатные материалы
265251,товары мебель общего назначения шкафы стеллажи
265252,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение накопители твердотельные в формате флеш-карты cf sd memory card и др usb-накопители твердотельные флеш-драйвы диски оптические с возможностью записи
265254,товары товары для образовательных организаций оборудование монтажное мультимедийное учебное
265266,товары спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх реагенты противогололедные твердые
265271,товары товары строительные щебень
265279,товары продукты пищевые вода питьевая
265280,товары изделия канцелярские бумага и бумажные изделия бумага для офисной техники блоки бумажные для записей календари бумажные журналы канцелярские папки пластиковые файлы-вкладыши пластиковые ручки канцелярские наборы ручек канцелярских маркеры материалы расходные для сшивания и переплета документов пластиковые лента клейкая канцелярская средства корректирующие канцелярские средства красящие канцелярские клеи канцелярские скрепки канцелярские зажимы для бумаг закладки самоклеящиеся бумажные резинки бухгалтерские наборы канцелярские пластиковые коврики канцелярские ножи канцелярские
265281,товары товары строительные металлоизделия готовые прочие
265287,товары товары хозяйственные техника бытовая инвентарь садовый пластмассовый
265296,товары товары строительные двери
265297,товары товары строительные инструмент ручной прочий растворители краски материалы лакокрасочные покрытия наносимые кроме огнезащитных материалы гидроизоляционные лента строительная адгезивная
265300,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение расходные материалы и комплектующие для принтеров печатающих не на бумаге
265302,средства лекарственные и материалы применяемые в медицинских целях средства лекарственные и материалы применяемые в медицинских целях гормоны гипоталамуса и гипофиза и их аналоги
265313,товары товары хозяйственные техника бытовая инвентарь уборочный металлический инвентарь уборочный пластмассовый метлы ерши щетки для уборки тряпки для уборки салфетки насадки для уборки рукоятки деревянные для инвентаря средства чистящие средства чистящие средства чистящие средства чистящие средства чистящие средства моющие для стекол и зеркал средства моющие для туалетов и ванных комнат средства моющие для поверхностей в помещениях средства для посудомоечных машин средства дезинфицирующие хозяйственные мыло туалетное твердое мыло туалетное жидкое средства отбеливающие для стирки кондиционеры для белья инвентарь для санузлов пластмассовый мешки чехлы пакеты сумки полимерные лента клейкая упаковочная элементы благоустройства территории конструкции и оборудование информационные
265320,товары товары строительные аппараты сварочные инструмент и оборудование инструментальное
265327,товары одежда включая форменную обувь галантерея головные уборы одежда для взрослых форменная одежда для взрослых одежда специальная для защиты от общих производственных загрязнений и механических воздействий спецодежда специальная экипировка спецодежда специальная экипировка
265342,продукты пищевые молоко и молочная продукция масло сливочное творог сметана
265348,товары изделия канцелярские бумага и бумажные изделия флаги вымпелы прочая флажная продукция принадлежности для флажной продукции
265361,товары товары строительные метизы крепежные изделия пиломатериалы замки дверные двери ворота и комплектующие к ним фурнитура и комплектующие к дверям и воротам прочие
265375,товары товары хозяйственные техника бытовая инвентарь для санузлов пластмассовый
265377,товары товары хозяйственные техника бытовая салфетки насадки для уборки бумага туалетная изделия абсорбирующие
265379,товары тест 08 08 2017 вещества органические
265389,товары изделия канцелярские бумага и бумажные изделия папки пластиковые файлы-вкладыши пластиковые ручки канцелярские маркеры карандаши чернографитные ластики скрепочницы пластиковые степлеры сшиватели дыроколы канцелярские принадлежности для досок и флипчартов средства корректирующие канцелярские клеи канцелярские скрепки канцелярские скобы для степлеров зажимы для бумаг ножницы канцелярские
