code,description
13.20.14.110,Ткани из джутовых волокон
13.20.14.120,"Ткани из волокон лубяных текстильных прочих (кроме льна, конопли обыкновенной и рами)"
13.20.19,Ткани из прочих растительных текстильных волокон; ткани из бумажной пряжи
13.20.19.110,Ткани из прочих растительных текстильных волокон
13.20.19.120,Ткани из бумажной пряжи
13.20.2,Ткани хлопчатобумажные
13.20.20,Ткани хлопчатобумажные
13.20.20.110,Ткани хлопчатобумажные бытовые
13.20.20.111,Ткани хлопчатобумажные плательные
13.20.20.112,Ткани хлопчатобумажные сорочечные
13.20.20.113,Ткани хлопчатобумажные бельевые нательные
13.20.20.114,Ткани хлопчатобумажные бельевые постельные
13.20.20.115,Ткани хлопчатобумажные одежные
13.20.20.119,Ткани хлопчатобумажные бытовые прочие
13.20.20.120,Ткани хлопчатобумажные смешанные бытовые
13.20.20.121,Ткани хлопчатобумажные смешанные плательные
13.20.20.122,Ткани хлопчатобумажные смешанные сорочечные
13.20.20.123,Ткани хлопчатобумажные смешанные бельевые нательные
13.20.20.124,Ткани хлопчатобумажные смешанные бельевые постельные
13.20.20.125,Ткани хлопчатобумажные смешанные одежные
13.20.20.129,Ткани хлопчатобумажные смешанные бытовые прочие
13.20.20.130,Ткани хлопчатобумажные палаточные и плащевые
13.20.20.190,Ткани хлопчатобумажные прочие
13.20.3,Ткани (кроме специальных тканей) из химических комплексных нитей и штапельных волокон
13.20.31,Ткани из синтетических и искусственных комплексных нитей
13.20.31.110,Ткани суровые из синтетических комплексных нитей
13.20.31.120,"Ткани готовые с массовой долей синтетических комплексных нитей, включая ткани из мононитей, ленточных и аналогичных нитей, не менее 85%"
13.20.31.121,Ткани готовые с массовой долей полиамидных и армидных нитей не менее 85%
13.20.31.122,"Ткани готовые с массовой долей полиэфирных, в том числе текстурированных нитей, не менее 85%"
13.20.31.123,Ткани готовые с массовой долей полиэтиленовых и полипропиленовых плоских (пленочных) нитей не менее 85%
13.20.31.129,Ткани готовые с массовой долей прочих синтетических нитей не менее 85%
13.20.31.130,"Ткани готовые с массовой долей синтетических нитей менее 85%, смешанных в основном или исключительно с хлопком"
13.20.31.131,Ткани готовые с массовой долей полиамидных нитей менее 85%
13.20.31.132,Ткани готовые с массовой долей полиэфирных нитей менее 85%
13.20.31.139,Ткани готовые с массовой долей прочих синтетических нитей менее 85%
13.20.31.140,"Ткани готовые с массовой долей синтетических нитей менее 85%, смешанных с другими видами натуральных и химических волокон и нитей"
13.20.31.150,Ткани суровые из искусственных (целлюлозных) нитей
13.20.31.160,Ткани готовые с массовой долей искусственных (целлюлозных) нитей не менее 85%
13.20.31.161,Ткани с массовой долей вискозных нитей не менее 85%
13.20.31.162,Ткани с массовой долей высокомодульных вискозных нитей не менее 85%
13.20.31.163,"Ткани с массовой долей ацетатных, диацетатных, триацетатных нитей не менее 85%"
13.20.31.169,Ткани с массовой долей прочих искусственных (целлюлозных) нитей не менее 85%
13.20.31.170,Ткани готовые с массовой долей искусственных (целлюлозных) нитей менее 85%
13.20.31.171,Ткани с массовой долей вискозных нитей менее 85%
13.20.31.172,Ткани с массовой долей прочих искусственных (целлюлозных) нитей менее 85%
13.20.31.180,"Ткани готовые с массовой долей искусственных (целлюлозных) нитей менее 85%, смешанных с другими видами натуральных и химических волокон и нитей"
13.20.31.190,Ткани из синтетических и искусственных комплексных нитей прочие
13.20.32,Ткани из синтетических штапельных волокон
13.20.32.110,Ткани суровые из синтетических штапельных волокон
13.20.32.120,Ткани готовые с массовой долей синтетических штапельных волокон не менее 85%
13.20.32.121,Ткани готовые с массовой долей полиэфирных волокон не менее 85%
13.20.32.122,Ткани готовые с массовой долей полиакрилонитрильных и модифицированных полиакрилонитрильных волокон не менее 85%
13.20.32.123,Ткани готовые с массовой долей полиамидных волокон не менее 85%
13.20.32.129,Ткани готовые с массовой долей прочих синтетических штапельных волокон не менее 85%
13.20.32.130,Ткани готовые с массовой долей синтетических штапельных волокон менее 85% с добавлением в основном или исключительно хлопка
13.20.32.140,Ткани готовые с массовой долей синтетических штапельных волокон менее 85% с добавлением в основном или исключительно шерсти
13.20.32.190,Ткани готовые из синтетических штапельных волокон прочие
13.20.33,Ткани из искусственных штапельных волокон
13.20.33.110,Ткани суровые из искусственных (целлюлозных) штапельных волокон
13.20.33.120,Ткани готовые с массовой долей искусственных (целлюлозных) волокон не менее 85%
13.20.33.121,Ткани готовые с массовой долей вискозных волокон не менее 85%
13.20.33.129,Ткани готовые с массовой долей прочих искусственных (целлюлозных) волокон не менее 85%
13.20.33.130,Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85% с добавлением в основном или исключительно химических нитей
13.20.33.140,Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85% с добавлением в основном или исключительно шерсти или тонкого волоса животных
13.20.33.150,Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85% с добавлением в основном или исключительно хлопка
13.20.33.190,Ткани готовые из прочих искусственных (целлюлозных) штапельных волокон
13.20.4,"Ткани ворсовые, махровые полотенечные ткани и прочие специальные ткани"
13.20.41,Ткани ворсовые и ткани из синели (кроме махровых полотенечных тканей и узких тканей)
13.20.41.110,Ткани ворсовые (кроме тканей махровых полотенечных и узких тканей)
13.20.41.120,Ткани синельные (кроме тканей махровых полотенечных и узких тканей)
13.20.42,"Ткани махровые полотенечные и аналогичные махровые ткани (кроме узких тканей), хлопчатобумажные"
13.20.42.000,"Ткани махровые полотенечные и аналогичные махровые ткани (кроме узких тканей), хлопчатобумажные"
13.20.43,Ткани махровые полотенечные прочие и аналогичные махровые ткани (кроме узких тканей)
13.20.43.000,Ткани махровые полотенечные прочие и аналогичные махровые ткани (кроме узких тканей)
13.20.44,"Марля, кроме узких тканей"
13.20.44.110,Марля бытовая хлопчатобумажная
13.20.44.120,Марля медицинская
13.20.44.130,Марля полиграфическая хлопкополиэфирная
13.20.44.190,Марля прочая
13.20.45,Ткани длинноворсовые (кроме ковров)
13.20.45.000,Ткани длинноворсовые (кроме ковров)
13.20.46,Ткани из стекловолокна (включая узкие ткани)
13.20.46.000,Ткани из стекловолокна (включая узкие ткани)
13.20.5,Мех искусственный тканый
13.20.50,Мех искусственный тканый
13.20.50.000,Мех искусственный тканый
13.20.9,"Услуги по производству текстильных тканей отдельные, выполняемые субподрядчиком"
13.20.99,"Услуги по производству текстильных тканей отдельные, выполняемые субподрядчиком"
13.20.99.000,"Услуги по производству текстильных тканей отдельные, выполняемые субподрядчиком"
13.3,Услуги по отделке пряжи и тканей
13.3,Услуги по отделке пряжи и тканей
13.30.1,Услуги по отделке пряжи и тканей
13.30.11,Услуги по отбеливанию и крашению текстильных нитей и пряжи
13.30.11.000,Услуги по отбеливанию и крашению текстильных нитей и пряжи
13.30.12,Услуги по отбеливанию тканей и текстильных изделий (включая одежду)
13.30.12.000,Услуги по отбеливанию тканей и текстильных изделий (включая одежду)
13.30.13,Услуги по окраске тканей и текстильных изделий (включая одежду)
13.30.13.000,Услуги по окраске тканей и текстильных изделий (включая одежду)
13.30.14,Услуги по набивке тканей и текстильных изделий (включая одежду)
13.30.14.000,Услуги по набивке тканей и текстильных изделий (включая одежду)
13.30.19,Услуги по отделке тканей и текстильных изделий (включая одежду) прочие
13.30.19.110,"Услуги по аппретированию, сушке, обработке паром, декатировке, противоусадочной отделке, смягчению тканей и текстильных изделий (включая готовую одежду)"
13.30.19.120,Услуги по плиссировочным и подобным работам на текстильных материалах
13.30.19.130,"Услуги по нанесению водозащитного слоя, специальных покрытий, прорезиниванию, пропитке приобретенной одежды"
13.30.19.140,Услуги по нанесению рисунка на текстильные изделия и готовую одежду
13.30.19.190,"Услуги по отделке тканей и текстильных изделий (включая одежду) прочие, не включенные в другие группировки"
13.9,Изделия текстильные прочие
13.91,Полотна трикотажные или вязаные
13.91.1,Полотна трикотажные машинного или ручного вязания
13.91.11,"Полотна ворсовые, полотна махровые, трикотажные или вязаные"
13.91.11.110,Полотна ворсовые трикотажные или вязаные
13.91.11.120,Полотна махровые трикотажные или вязаные
13.91.19,"Полотна трикотажные или вязаные прочие, включая искусственный вязаный мех"
13.91.19.110,Полотна трикотажные или вязаные прочие
13.91.19.120,Мех искусственный вязаный
13.91.9,"Услуги по производству трикотажных или вязаных полотен отдельные, выполняемые субподрядчиком"
13.91.99,"Услуги по производству трикотажных или вязаных полотен отдельные, выполняемые субподрядчиком"
13.91.99.000,"Услуги по производству трикотажных или вязаных полотен отдельные, выполняемые субподрядчиком"
13.92,Изделия текстильные готовые (кроме одежды)
13.92.1,Изделия текстильные готовые для домашнего хозяйства
13.92.11,Одеяла и дорожные пледы (кроме электрических одеял)
13.92.11.110,Одеяла (кроме электрических одеял)
13.92.11.120,Пледы дорожные
13.92.12,Белье постельное
13.92.12.110,Белье постельное из хлопчатобумажных тканей
13.92.12.111,Простыни из хлопчатобумажных тканей
13.92.12.112,Пододеяльники из хлопчатобумажных тканей
13.92.12.113,Наволочки из хлопчатобумажных тканей
13.92.12.114,Комплекты постельного белья из хлопчатобумажных тканей
13.92.12.119,Белье постельное прочее из хлопчатобумажных тканей
13.92.12.120,Белье постельное из льняных тканей
13.92.12.121,Простыни из льняных тканей
13.92.12.122,Пододеяльники из льняных тканей
13.92.12.123,Наволочки из льняных тканей
13.92.12.124,Комплекты постельного белья из льняных тканей
13.92.12.129,Белье постельное прочее из льняных тканей
13.92.12.130,Белье постельное из шерстяных тканей
13.92.12.131,Простыни из шерстяных тканей
13.92.12.132,Пододеяльники из шерстяных тканей
13.92.12.133,Наволочки из шерстяных тканей
13.92.12.134,Комплекты постельного белья из шерстяных тканей
13.92.12.139,Белье постельное прочее из шерстяных тканей
13.92.12.140,Белье постельное из шелковых тканей
13.92.12.141,Простыни из шелковых тканей
13.92.12.142,Пододеяльники из шелковых тканей
13.92.12.143,Наволочки из шелковых тканей
13.92.12.144,Комплекты постельного белья из шелковых тканей
13.92.12.149,Белье постельное прочее из шелковых тканей
13.92.12.150,Белье постельное из синтетических тканей
13.92.12.151,Простыни из синтетических тканей
13.92.12.152,Пододеяльники из синтетических тканей
13.92.12.153,Наволочки из синтетических тканей
13.92.12.154,Комплекты постельного белья из синтетических тканей
13.92.12.159,Белье постельное прочее из синтетических тканей
13.92.12.160,Белье постельное из нетканых материалов
13.92.12.161,Простыни из нетканых материалов
13.92.12.162,Пододеяльники из нетканых материалов
13.92.12.163,Наволочки из нетканых материалов
13.92.12.164,Комплекты постельного белья из нетканых материалов
13.92.12.169,Белье постельное прочее из нетканых материалов
13.92.12.190,Белье постельное из прочих тканей
13.92.12.191,Простыни из прочих тканей
13.92.12.192,Пододеяльники из прочих тканей
13.92.12.193,Наволочки из прочих тканей
13.92.12.194,Комплекты постельного белья из прочих тканей
13.92.12.199,Белье постельное прочее из прочих тканей
13.92.13,Белье столовое
13.92.13.110,Белье столовое из хлопчатобумажных тканей
13.92.13.111,Скатерти из хлопчатобумажных тканей
13.92.13.112,Салфетки столовые из хлопчатобумажных тканей
13.92.13.119,Белье столовое прочее из хлопчатобумажных тканей
13.92.13.120,Белье столовое из льняных тканей
13.92.13.121,Скатерти из льняных тканей
13.92.13.122,Салфетки столовые из льняных тканей
13.92.13.129,Белье столовое прочее из льняных тканей
13.92.13.130,Белье столовое из шелковых тканей
13.92.13.131,Скатерти из шелковых тканей
13.92.13.132,Салфетки столовые из шелковых тканей
13.92.13.139,Белье столовое прочее из шелковых тканей
13.92.13.140,Белье столовое из синтетических тканей
13.92.13.141,Скатерти из синтетических тканей
13.92.13.142,Салфетки столовые из синтетических тканей
13.92.13.149,Белье столовое прочее из синтетических тканей
13.92.13.150,Белье столовое из нетканых материалов
13.92.13.151,Скатерти из нетканых материалов
13.92.13.152,Салфетки столовые из нетканых материалов
13.92.13.159,Белье столовое прочее из нетканых материалов
13.92.13.190,Белье столовое из прочих тканей
13.92.13.191,Скатерти из прочих тканей
13.92.13.192,Салфетки столовые из прочих тканей
13.92.13.199,Белье столовое прочее из прочих тканей
13.92.14,Белье туалетное и кухонное
13.92.14.110,Белье туалетное
13.92.14.120,Белье кухонное
13.92.15,Занавеси (включая драпировочные) и шторы для интерьеров; занавеси и подзоры для кроватей
13.92.15.110,Занавеси (включая драпировочные)
13.92.15.120,Шторы для интерьеров
13.92.15.130,Занавеси и подзоры для кроватей
13.92.16,"Изделия мебельно-декоративные, не включенные в другие группировки; комплекты тканей и пряжи для изготовления пледов, гобеленов и аналогичных изделий"
13.92.16.110,"Изделия мебельно-декоративные, не включенные в другие группировки"
13.92.16.111,Гобелены
13.92.16.112,Ткани мебельно-декоративные рисунчатые ручной работы типа гобеленов
13.92.16.119,"Изделия мебельно-декоративные прочие, не включенные в другие группировки"
13.92.16.120,"Комплекты тканей и пряжи для изготовления пледов, гобеленов и аналогичных изделий"
13.92.2,Изделия текстильные готовые прочие
13.92.21,"Мешки и пакеты, используемые для упаковки товаров"
13.92.21.110,Мешки для упаковки готовых изделий
13.92.21.120,Пакеты для упаковки готовых изделий
13.92.21.190,Изделия упаковочные прочие из текстильных материалов
13.92.22,"Брезенты, навесы и маркизы (шторы от солнца); паруса для лодок, яхт или десантных плавучих средств; палатки, тенты и снаряжение для кемпинга (включая надувные матрасы)"
13.92.22.110,Брезенты
13.92.22.120,Навесы и маркизы (шторы от солнца)
13.92.22.130,"Паруса для лодок, яхт или средств плавучих десантных"
13.92.22.140,Тенты
13.92.22.150,Палатки
13.92.22.151,Палатки из хлопчатобумажных тканей
13.92.22.152,Палатки из синтетических материалов
13.92.22.159,Палатки из прочих текстильных материалов
13.92.22.160,Снаряжение для кемпинга (включая надувные матрасы)
13.92.23,Парашюты (включая управляемые парашюты) и ротошюты; их части
13.92.23.110,Парашюты (включая управляемые парашюты)
13.92.23.120,Ротошюты
13.92.23.130,"Части и комплектующие парашютов, парапланов и ротошютов"
13.92.24,"Одеяла стеганые, одеяла стеганые пуховые, валики, пуфы, подушки, спальные мешки и аналогичные изделия с пружинами или набитые, или изнутри оснащенные каким-либо материалом, или из пористой резины, или пластмассы"
13.92.24.110,Одеяла стеганые
13.92.24.111,Одеяла стеганые ватные
13.92.24.112,Одеяла стеганые пуховые
13.92.24.113,Одеяла стеганые перьевые
13.92.24.119,Одеяла стеганые прочие
13.92.24.120,Одеяла стеганые для детей
13.92.24.121,Одеяла стеганые пуховые с верхом из хлопчатобумажных тканей для детей
13.92.24.122,Одеяла стеганые пуховые с верхом из шелковых тканей для детей
13.92.24.123,Одеяла стеганые перьевые с верхом из хлопчатобумажных тканей для детей
13.92.24.124,Одеяла стеганые перьевые с верхом из шелковых тканей для детей
13.92.24.129,Одеяла стеганые прочие для детей
13.92.24.130,Пуфы
13.92.24.140,Подушки
13.92.24.150,Мешки спальные
13.92.24.151,Мешки спальные пухо-перовые
13.92.24.152,Мешки спальные с наполнителем из синтетических нитей
13.92.24.159,Мешки спальные прочие
13.92.24.190,"Изделия аналогичные прочие, пружинные или набивные, или с внутренним наполнителем из любого материала, или изготовленные из губки или пластмасс"
13.92.29,"Изделия текстильные готовые прочие (включая тряпки для мытья полов, посуды, удаления пыли и аналогичные текстильные изделия, спасательные жилеты и пояса)"
13.92.29.110,"Тряпки для мытья полов, посуды, удаления пыли"
13.92.29.120,Салфетки текстильные для удаления пыли
13.92.29.130,Жилеты спасательные
13.92.29.140,Пояса спасательные
13.92.29.190,"Изделия текстильные готовые прочие, не включенные в другие группировки"
13.92.9,Услуги по производству готовых текстильных изделий
13.92.99,Услуги по производству готовых текстильных изделий
13.92.99.100,"Услуги по производству готовых текстильных изделий отдельные, выполняемые субподрядчиком"
13.92.99.200,Услуги по пошиву готовых текстильных изделий по индивидуальному заказу населения
13.92.99.210,Услуги по пошиву столового и постельного белья по индивидуальному заказу населения
13.92.99.220,"Услуги по пошиву стеганых покрывал, накидок по индивидуальному заказу населения"
13.92.99.230,Услуги по пошиву чехлов всех видов по индивидуальному заказу населения
13.92.99.240,"Услуги по пошиву штор, драпировок по индивидуальному заказу населения"
13.92.99.250,"Услуги по пошиву сопутствующих изделий (салфетки, фартуки и др.) по индивидуальному заказу населения"
13.93,Ковры и ковровые изделия
13.93.1,Ковры и ковровые изделия
13.93.11,"Ковры и прочие текстильные напольные покрытия, узелковые"
13.93.11.110,Ковры узелковые
13.93.11.120,Покрытия текстильные напольные узелковые прочие
13.93.12,"Ковры и прочие текстильные напольные покрытия тканые, неиглопрошивные или флокированные"
13.93.12.110,"Ковры тканые, неиглопрошивные или флокированные"
13.93.12.120,"Покрытия текстильные напольные тканые прочие, неиглопрошивные или флокированные"
13.93.12.130,Ковры ручной работы
13.93.13,"Ковры и прочие текстильные напольные покрытия, иглопрошивные"
13.93.13.110,Ковры иглопрошивные
13.93.13.120,Покрытия текстильные напольные иглопрошивные прочие
13.93.19,Ковры и текстильные напольные покрытия прочие (включая войлочные)
13.93.19.110,Ковры прочие (включая войлочные)
13.93.19.120,Покрытия текстильные напольные прочие (включая войлочные)
13.93.9,"Услуги по производству ковров и ковровых изделий отдельные, выполняемые субподрядчиком"
13.93.99,"Услуги по производству ковров и ковровых изделий отдельные, выполняемые субподрядчиком"
13.93.99.000,"Услуги по производству ковров и ковровых изделий отдельные, выполняемые субподрядчиком"
13.94,"Канаты, веревки, шпагат и сети"
13.94.1,"Канаты, веревки, шпагат и сети, кроме отходов"
13.94.11,"Шпагат, канаты, веревки и шнуры из джута или прочих текстильных лубяных материалов"
13.94.11.110,Шпагат из джута или прочих лубяных текстильных волокон
13.94.11.120,Канаты из джута или прочих лубяных текстильных волокон
13.94.11.130,Веревки из джута или прочих лубяных текстильных волокон
13.94.11.140,Шнуры из джута или прочих лубяных текстильных волокон
13.94.12,"Сети и сетки, плетеные из бечевок, шнуров или веревок, готовые сети из текстильных материалов; изделия из пряжи, лент, не включенные в другие группировки"
13.94.12.110,"Сети (кроме рыболовных) и сетки плетеные из бечевок, каната или веревок"
13.94.12.120,Сети готовые (отделанные) рыболовные и прочие орудия лова рыбы из текстильных материалов
13.94.12.121,Сети готовые (отделанные) рыболовные из текстильных материалов
13.94.12.122,Дели готовые (отделанные) рыболовные из текстильных материалов
13.94.12.129,Орудия лова рыбы прочие из текстильных материалов
13.94.12.130,"Изделия из пряжи и лент, не включенные в другие группировки"
13.94.12.190,"Шнуры, изделия канатные и веревочные, не включенные в другие группировки"
13.94.2,"Тряпье, отходы шпагата, бечевки, веревки или канатов и изделия из текстильных материалов, бывшие в употреблении"
13.94.20,"Тряпье, отходы шпагата, бечевки, веревки или канатов и изделия из текстильных материалов, бывшие в употреблении"
13.94.20.110,Ветошь
13.94.20.120,"Отходы бечевки, каната, веревок"
13.94.20.190,"Изделия прочие из текстильных материалов, бывшие в употреблении"
13.94.9,"Услуги по производству канатов, веревок, шпагата, сетей и сеток отдельные, выполняемые субподрядчиком"
13.94.99,"Услуги по производству канатов, веревок, шпагата, сетей и сеток отдельные, выполняемые субподрядчиком"
13.94.99.000,"Услуги по производству канатов, веревок, шпагата, сетей и сеток отдельные, выполняемые субподрядчиком"
13.95,Материалы нетканые и изделия из них (кроме одежды)
13.95.1,Материалы нетканые и изделия из них (кроме одежды)
13.95.10,Материалы нетканые и изделия из них (кроме одежды)
13.95.10.110,"Материалы нетканые, кроме ватинов"
13.95.10.111,Материалы нетканые из текстильных волокон
13.95.10.112,Материалы нетканые из химических нитей
13.95.10.119,Материалы нетканые из прочих нитей
13.95.10.120,Ватины нетканые
13.95.10.121,Ватины холстопрошивные хлопчатобумажные
13.95.10.122,Ватины холстопрошивные шерстяные
13.95.10.123,Ватины холстопрошивные технические
13.95.10.129,Ватины нетканые прочие
13.95.10.190,"Изделия из нетканых материалов прочие, кроме одежды"
13.95.9,"Услуги по производству материалов нетканых и изделий из них, кроме одежды, отдельные, выполняемые субподрядчиком"
13.95.99,"Услуги по производству материалов нетканых и изделий из них, кроме одежды, отдельные, выполняемые субподрядчиком"
13.95.99.000,"Услуги по производству материалов нетканых и изделий из них, кроме одежды, отдельные, выполняемые субподрядчиком"
13.96,Изделия текстильные технического назначения прочие
13.96.1,"Пряжа металлизированная или металлизированная позументная тесьма; ткани из металлической нити и ткани из металлизированной пряжи; резиновые нити и шнуры с текстильным покрытием, и текстильные материалы и изделия технического назначения"
13.96.11,Пряжа металлизированная или металлизированная позументная тесьма
13.96.11.110,Пряжа металлизированная
13.96.11.120,Тесьма металлизированная позументная
13.96.12,"Ткани из металлической нити и ткани из металлизированной пряжи, не включенные в другие группировки"
13.96.12.110,Ткани из металлической нити и ткани из металлизированной пряжи для одежды
13.96.12.120,Ткани мебельно-декоративные из металлической нити и ткани из металлизированной пряжи
13.96.12.190,"Ткани из металлической нити и ткани из металлизированной пряжи прочие, не включенные в другие группировки"
13.96.13,"Нити и шнуры резиновые с текстильным покрытием; нити и ленты текстильные, пропитанные или с пластмассовым или резиновым покрытием"
13.96.13.110,Нити и шнуры резиновые с текстильным покрытием
13.96.13.120,Нити текстильные пропитанные или с пластмассовым или резиновым покрытием
13.96.13.130,Ленты текстильные пропитанные или с пластмассовым или резиновым покрытием
13.96.14,"Ткани трикотажные пропитанные или с покрытием, не включенные в другие группировки"
13.96.14.110,"Ткани, пропитанные поливинилхлоридной композицией, или с покрытием из поливинилхлорида"
13.96.14.111,"Ткани, пропитанные поливинилхлоридной композицией"
13.96.14.112,Ткани с покрытием из поливинилхлорида
13.96.14.120,"Ткани, пропитанные полиуретановой композицией, или с покрытием из полиуретана"
13.96.14.121,"Ткани, пропитанные полиуретановой композицией"
13.96.14.122,Ткани с покрытием из полиуретана
13.96.14.130,"Ткани, пропитанные композициями на основе производных целлюлозы, или с покрытием из производных целлюлозы"
13.96.14.131,"Ткани, пропитанные композициями на основе производных целлюлозы"
13.96.14.132,Ткани с покрытием из производных целлюлозы
13.96.14.190,"Ткани, пропитанные другими полимерными композициями, или с покрытием, прочие"
13.96.14.191,"Ткани с клеевым покрытием на основе смол или крахмала, используемые для изготовления переплетных материалов или для аналогичных целей"
13.96.14.192,"Калька чертежная, полученная обработкой смолами хлопчатобумажных или льняных тканей"
13.96.14.193,"Холст, загрунтованный для живописи"
13.96.14.194,"Холсты, расписанные для театральных декораций, художественных студий, и аналогичного назначения"
13.96.14.195,Ткани с огнестойкой отделкой для экранов
13.96.14.196,"Ткани, покрытые смолой или другими материалами, используемые для производства брезента и упаковочных материалов"
13.96.14.197,Бортовка и аналогичные ткани жесткие пропитанные для каркасов шляп
13.96.14.199,"Ткани, пропитанные другими полимерными композициями, или с покрытием из других полимеров, прочие, не включенные в другие группировки"
13.96.15,"Ткани кордные из высокопрочной нейлоновой пряжи или прочей полиамидной, полиэфирной или вискозной пряжи"
13.96.15.110,Ткани кордные из высокопрочной нейлоновой нити
13.96.15.120,Ткани кордные из высокопрочного полиамидного волокна
13.96.15.130,Ткани кордные из высокопрочного полиэфирного волокна
13.96.15.140,Ткани кордные из высокопрочного вискозного волокна
13.96.15.190,"Ткани кордные прочие, не включенные в другие группировки"
13.96.16,"Материалы текстильные и изделия технического назначения (включая фитили, калильные сетки газовых фонарей, текстильные шланги, конвейерные ленты и приводные ремни, ситовые ткани и фильтровальные ткани)"
13.96.16.110,Фитили текстильные
13.96.16.120,Сетки калильные текстильные газовых фонарей
13.96.16.130,Шланги текстильные
13.96.16.140,Ремни приводные текстильные
13.96.16.150,Ленты конвейерные текстильные
13.96.16.160,Ткани для сит
13.96.16.170,Ткани фильтровальные
13.96.16.190,"Материалы и изделия технического назначения прочие, не включенные в другие группировки"
13.96.17,Ткани узкие; ткани узкие с основой без утка с клеевым соединением (клеящие ленты); материалы для отделки и аналогичные изделия
13.96.17.110,Ткани узкие
13.96.17.111,Ткани узкие из хлопчатобумажной пряжи (кроме ворсовых тканей и тканей из синели)
13.96.17.112,Ткани узкие из шелковых нитей
13.96.17.113,Ткани узкие из других натуральных нитей
13.96.17.114,Ткани узкие из химических нитей
13.96.17.115,Ткани узкие ворсовые и ткани из синели
13.96.17.116,"Ткани узкие, содержащие не менее 5% эластановых и латексных нитей"
13.96.17.117,Ткани узкие из металлических нитей
13.96.17.119,Ткани узкие из прочих нитей
13.96.17.120,"Ярлыки, этикетки, эмблемы и аналогичные изделия из текстильных материалов"
13.96.17.121,"Ярлыки тканые, этикетки, эмблемы и аналогичные изделия"
13.96.17.122,"Ярлыки, этикетки, эмблемы и аналогичные изделия из фетра или войлока"
13.96.17.123,"Ярлыки трикотажные, этикетки, эмблемы и аналогичные изделия"
13.96.17.129,"Ярлыки, этикетки, эмблемы и аналогичные изделия из прочих материалов"
13.96.17.130,"Тесьма плетеная в куске; материалы отделочные без вышивки в куске, кроме трикотажных; кисточки, помпоны и аналогичные изделия"
13.96.17.131,Тесьма плетеная и шнуры
13.96.17.132,Шнуры оплетенные отделочные
13.96.17.133,"Материалы ленточные отделочные без вышивки, кроме трикотажных"
13.96.17.134,"Материалы отделочные без вышивки в куске, кроме трикотажных"
13.96.17.135,Кисточки и помпоны и аналогичные изделия
13.96.17.190,"Материалы отделочные и аналогичные изделия прочие, не включенные в другие группировки"
