code,description
01.01.08.03.01.07,ИЗДЕЛИЯ КОЛБАСНЫЕ ВАРЕНЫЕ
01.01.10.01.01,МОЛОКО ПИТЬЕВОЕ
01.01.10.05.01,КЕФИР
01.01.10.05.03,РЯЖЕНКА
01.01.11.03,РЫБА СОЛЕНАЯ
01.01.11.04.04,КОНСЕРВЫ РЫБОРАСТИТЕЛЬНЫЕ
01.11.02.10.99,РАСХОДНЫЕ МАТЕРИАЛЫ К ИНСТРУМЕНТУ ПРОЧИЕ
01.11.02.99,"ИНСТРУМЕНТ, ОБОРУДОВАНИЕ ИНСТРУМЕНТАЛЬНОЕ ПРОЧИЕ"
01.11.03,МАТЕРИАЛЫ РАСХОДНЫЕ ИНЖЕНЕРНО-СТРОИТЕЛЬНЫЕ
01.11.03.05.05,КРАСКИ
01.11.03.05.10,БИТУМ
01.11.03.06,МАТЕРИАЛЫ СТРОИТЕЛЬНЫЕ ПОЛИМЕРНЫЕ
01.11.03.08.01,ГЕОМАТЕРИАЛЫ
01.11.03.09.04,МАТЕРИАЛЫ ЭЛЕКТРОИЗОЛЯЦИОННЫЕ
01.11.03.10,ПЛИТКА СТРОИТЕЛЬНАЯ
01.11.03.10.01.01,ПЛИТКА ОБЛИЦОВОЧНАЯ КЕРАМИЧЕСКАЯ
01.11.03.11,МАТЕРИАЛЫ ДЛЯ ОТДЕЛКИ СТЕН
01.11.03.12.03,КОВРОЛИН
01.11.03.12.05,ПЛИТКА НАПОЛЬНАЯ
01.11.04.01.02,ВОРОТА
01.11.04.01.04,ЗАМКИ ДВЕРНЫЕ
01.11.04.02.02,СТЕКЛОПАКЕТЫ
01.01.14,ВОДА
01.11.04.03.02,КАБЕЛИ ЭЛЕКТРИЧЕСКИЕ СТРОИТЕЛЬНЫЕ
01.01.15.01.07,СОКИ АБРИКОСОВЫЕ
01.11.04.03.03,"КАНАЛЫ И КОРОБА КАБЕЛЬНЫЕ СТРОИТЕЛЬНЫЕ, ЗА ИСКЛЮЧЕНИЕМ ОГНЕСТОЙКИХ"
01.01.15.01.09,СОКИ СЛИВОВЫЕ
01.11.05.04,ПАНЕЛИ СТЕНОВЫЕ
01.11.06.01.01,ТРУБЫ СТЕКЛОПЛАСТИКОВЫЕ И СТЕКЛОБАЗАЛЬТПЛАСТИКОВЫЕ
01.01.15.07,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ ПРОЧИЕ
01.11.06.01.02,ТРУБЫ И ДЕТАЛИ ТРУБОПРОВОДОВ ИЗ ПОЛИЭТИЛЕНА
01.01.16.01.02,ВАРЕНИКИ (П/Ф)
01.11.06.01.99,ТРУБЫ И ДЕТАЛИ ТРУБОПРОВОДОВ ИЗ ИНЫХ ПОЛИМЕРОВ
01.11.06.99,ТРУБЫ И ДЕТАЛИ ТРУБОПРОВОДОВ ПРОЧИЕ
01.02.02.02.04,УСТРОЙСТВА ДЛЯ СЪЕМА ГИПСОВЫХ ПОВЯЗОК
01.11.07,СЫПУЧИЕ СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ И СМЕСИ
01.02.02.04.02.08,ЛИГАТУРНЫЕ ИГЛЫ
01.11.07.04,ШПАТЛЕВКИ
01.02.02.12,ВЫКУСЫВАЮЩИЕ ХИРУРГИЧЕСКИЕ ИНСТРУМЕНТЫ
01.02.02.14.02,ФРЕЗЫ МЕДИЦИНСКОГО НАЗНАЧЕНИЯ
01.02.02.15.04,МЕДИЦИНСКИЕ ДЕРЖАТЕЛИ
01.02.02.16,РАЗДАВЛИВАЮЩИЕ МЕДИЦИНСКИЕ ИНСТРУМЕНТЫ
01.11.08.01,ПОКРЫТИЯ ОГНЕЗАЩИТНЫЕ
01.12.01,СПЕЦТЕХНИКА ДЛЯ ДОРОЖНО-ТРАНСПОРТНОГО СТРОИТЕЛЬСТВА
01.13.02.02.01,СМАРТФОНЫ ОБЩЕГО НАЗНАЧЕНИЯ
01.13.02.04,УСТРОЙСТВА СПУТНИКОВОЙ НАВИГАЦИИ НОСИМЫЕ
01.13.02.05,УСТРОЙСТВА СПУТНИКОВОЙ НАВИГАЦИИ АВТОМОБИЛЬНЫЕ
01.13.04.01.99,СИСТЕМЫ ОТОБРАЖЕНИЯ ИНФОРМАЦИИ ПРОЧИЕ
01.02.02.21,ОФТАЛЬМОЛОГИЧЕСКИЕ НАБОРЫ
01.02.02.23,ХИРУРГИЧЕСКИЕ ИНСТРУМЕНТЫ И ИНВЕНТАРЬ ПРОЧИЕ
01.02.03.01.01,МЕДИЦИНСКИЕ КОСТЮМЫ (КУРТКА И БРЮКИ)
01.02.03.03,МЕДИЦИНСКИЕ ГОЛОВНЫЕ УБОРЫ
01.02.03.03.05,МЕДИЦИНСКИЕ ПИЛОТКИ
01.13.04.02.03.01,ПЛОТТЕРЫ ГРАФИЧЕСКИЕ (ГРАФОПОСТРОИТЕЛИ)
01.13.04.04.02,КЛАВИАТУРЫ MIDI (МУЗЫКАЛЬНЫЕ)
01.13.04.04.04,УСТРОЙСТВА ВВОДА ПОЗИЦИОННЫЕ (ДЖОЙСТИКИ)
01.13.05.04,УСТРОЙСТВА ХРАНЕНИЯ ДАННЫХ СО СЪЕМНЫМИ ОПТИЧЕСКИМИ НОСИТЕЛЯМИ АВТОНОМНЫЕ
01.13.06.01,КОММУТАТОР
01.13.06.04,МОСТЫ
01.13.07.05.03.01,ЩИТЫ РАСПРЕДЕЛИТЕЛЬНЫЕ
01.13.07.05.05,СТАБИЛИЗАТОРЫ НАПРЯЖЕНИЯ
01.13.07.05.07.02,АККУМУЛЯТОРЫ ДЛЯ МОБИЛЬНЫХ ТЕЛЕФОНОВ
01.13.07.05.07.03,АККУМУЛЯТОРЫ ДЛЯ ФОТО- И ВИДЕОТЕХНИКИ
01.13.09.01,КАНАЛЫ И ЛИНИИ СВЯЗИ
01.13.09.02,ОБОРУДОВАНИЕ КАНАЛООБРАЗУЮЩЕЕ И КОММУТАЦИОННОЕ
01.13.09.02.05,КОНЦЕНТРАТОРЫ ПОТОКОВ
01.13.09.06.02,АППАРАТЫ ТЕЛЕФОННЫЕ ПРОВОДНЫЕ ЦИФРОВЫЕ
01.13.09.06.04,АППАРАТЫ ТЕЛЕФОННЫЕ ДЛЯ КОНФЕРЕНЦ-СВЯЗИ
01.13.09.07.03,РАДИОПРИЕМНИКИ АВТОМОБИЛЬНЫЕ С ФУНКЦИЕЙ ВОСПРОИЗВЕДЕНИЯ ЗАПИСЕЙ (АВТОМАГНИТОЛЫ)
01.13.11,ОРГТЕХНИКА
01.13.11.01.02,ДУПЛИКАТОРЫ
01.13.11.03.04,ФОТОАППАРАТУРА
01.13.11.03.05.05,"УСТРОЙСТВА ЗВУКОВОСПРОИЗВЕДЕНИЯ (ПРОИГРЫВАТЕЛИ, ПЛЕЕРЫ)"
01.13.11.03.05.05.01,"ПРОИГРЫВАТЕЛИ ОПТИЧЕСКИХ ДИСКОВ (CD, DVD, BLUERAY)"
01.13.12.03,ОБОРУДОВАНИЕ БАНКОВСКОЕ
01.13.12.03.99,ОБОРУДОВАНИЕ ДЛЯ БАНКА И ИНКАССАЦИИ ПРОЧЕЕ
01.13.12.04.02,ТЕРМИНАЛЫ ПЛАТЕЖНЫЕ САМООБСЛУЖИВАНИЯ
01.13.12.06.99,СРЕДСТВА И СИСТЕМЫ ЗАЩИТЫ ИНФОРМАЦИИ ПРОЧИЕ
01.13.13.03,КОМПЛЕКТУЮЩИЕ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ УСТРОЙСТВ ВВОДА И ВЫВОДА ИНФОРМАЦИИ
01.13.13.04,АКСЕССУАРЫ ДЛЯ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ
01.13.15.01,СОЕДИНИТЕЛИ КАБЕЛЬНЫЕ ДЛЯ КАБЕЛЕЙ С МЕДНЫМИ ПРОВОДНИКАМИ
01.13.13.04.02,АКСЕССУАРЫ ДЛЯ НОСИТЕЛЕЙ ИНФОРМАЦИИ
01.13.16.02,"ПРИБОРЫ ДЛЯ ИЗМЕРЕНИЯ НАПРЯЖЕНИЯ, СИЛЫ ТОКА И СОПРОТИВЛЕНИЯ"
01.13.13.04.99,АКСЕССУАРЫ ДЛЯ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ ПРОЧИЕ
01.13.16.08,"ИНСТРУМЕНТЫ ДЛЯ ЗАХВАТА ДЕТАЛЕЙ (ЩИПЦЫ, ПИНЦЕТЫ, ПЛОСКОГУБЦЫ, ПАССАТИЖИ И ДР.)"
01.13.14.02,РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ ДУПЛИКАТОРОВ
01.13.17.03,МОДУЛИ ОПЕРАТИВНОЙ ПАМЯТИ
01.13.14.05,РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ КАЛЬКУЛЯТОРОВ ПЕЧАТАЮЩИХ
01.13.17.05,НАКОПИТЕЛИ ТВЕРДОТЕЛЬНЫЕ ВСТРАИВАЕМЫЕ
01.13.17.13,КОРПУСА СИСТЕМНЫХ БЛОКОВ
01.13.17.15,КАБЕЛИ ВНУТРЕННИЕ ДЛЯ СИСТЕМНЫХ БЛОКОВ
01.14.05,ЛИТЕРАТУРА МЕТОДИЧЕСКАЯ
01.15,"ИЗДЕЛИЯ КАНЦЕЛЯРСКИЕ, БУМАГА И БУМАЖНЫЕ ИЗДЕЛИЯ"
01.15.01,БУМАГА
01.15.01.03,БУМАГА ЧЕРТЕЖНАЯ
01.15.01.04.03,КАРТОН МЕЛОВАННЫЙ
01.15.01.04.04,КАРТОН ЦВЕТНОЙ
01.15.01.06.03,БУМАГА ПЕЧАТНАЯ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ
01.15.02.07,БЛАНКИ
01.20.09.01.08,ИГРУШКИ СПОРТИВНЫЕ
01.20.09.01.99,ИГРУШКИ ПРОЧИЕ
01.20.10.02,"РАСХОДНЫЕ МАТЕРИАЛЫ, КОМПЛЕКТУЮЩИЕ, ЗАПАСНЫЕ ЧАСТИ ДЛЯ ОБОРУДОВАНИЯ ДЛЯ СТИРКИ И ОБРАБОТКИ БЕЛЬЯ"
01.20.11.04,МАШИНЫ ШВЕЙНЫЕ И ВЯЗАЛЬНЫЕ БЫТОВЫЕ
01.20.99.02.04,БУДИЛЬНИКИ
01.23.04,ОБОРУДОВАНИЕ ДЛЯ КОНТЕЙНЕРНЫХ ПЛОЩАДОК
01.23.05.99,МЕБЕЛЬ САДОВАЯ И ЛЕСНАЯ ПРОЧАЯ
01.23.09,КОНСТРУКЦИИ И ОБОРУДОВАНИЕ ИНФОРМАЦИОННЫЕ
01.24.04.01,ЧЕХЛЫ НА МАТРАЦЫ
01.24.99,ИЗДЕЛИЯ ТЕКСТИЛЬНЫЕ БЫТОВЫЕ ПРОЧИЕ
01.24.99.02,ПЛЕДЫ
01.25.01.05,АВТОМОЙКИ
01.25.01.06,"НАБОРЫ СЛЕСАРНО-МОНТАЖНОГО ИНСТРУМЕНТА ДЛЯ КОМПЛЕКТАЦИИ И ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ АВТОМОБИЛЕЙ, ТРАКТОРОВ И ПРОЧИХ МАШИН"
01.25.02.01,ОБОРУДОВАНИЕ ДЛЯ ТЕПЛОВОЙ ОБРАБОТКИ ПИЩИ
01.25.02.02.05,ТЕСТОМЕШАЛКИ
01.25.02.03.02,МОРОЗИЛЬНИКИ КУХОННЫЕ ПРОФЕССИОНАЛЬНЫЕ
01.25.03,ОБОРУДОВАНИЕ ТЕХНОЛОГИЧЕСКОЕ ДЛЯ БЫТОВОГО ОБСЛУЖИВАНИЯ
01.25.04.01,СТАНКИ ТОКАРНЫЕ
01.01.13.01,МОЛОКО СУХОЕ (ЗАМЕНЯЮЩЕЕ МАТЕРИНСКОЕ) И СУХИЕ МОЛОЧНЫЕ СМЕСИ
01.25.04.02,СТАНКИ ФРЕЗЕРНЫЕ
01.15.05.04.04,КЛЕИ КАНЦЕЛЯРСКИЕ
02,РАБОТЫ
02.01.03.01,СБОР И ОБРАБОТКА МАТЕРИАЛОВ И ИЗЫСКАНИЙ ПРОШЛЫХ ЛЕТ
02.01,ИЗЫСКАНИЯ ИНЖЕНЕРНЫЕ
02.01.02.07,ИЗЫСКАНИЯ ПРИ НАБЛЮДЕНИЯХ ЗА ОСАДКАМИ И ДЕФОРМАЦИЯМИ
02.01.03.02,ОБСЛЕДОВАНИЕ РЕКОГНОСЦИРОВОЧНОЕ
02.01.04.08,РАЗРАБОТКА И СОГЛАСОВАНИЕ ПРОЕКТА НОРМАТИВОВ ОБРАЗОВАНИЯ ОТХОДОВ И ЛИМИТОВ НА ИХ РАЗМЕЩЕНИЕ
02.01.02.08,СЪЕМКИ ФАСАДНЫЕ
02.02.01.01.03.03.03,РАЗРАБОТКА ПСД НА КАПИТАЛЬНЫЙ РЕМОНТ ЗДАНИЙ ОРГАНИЗАЦИЙ ЗДРАВООХРАНЕНИЯ
02.01.03,ИЗЫСКАНИЯ ИНЖЕНЕРНО-ГЕОЛОГИЧЕСКИЕ
03.31.03.05.01.33,АРЕНДА РАТРАКОВ С ЭКИПАЖЕМ
02.02.01.01.04,РАЗРАБОТКА ПСД НА ЗАМЕНУ ЛИФТОВОГО ОБОРУДОВАНИЯ
02.02.02.04,РАЗРАБОТКА СХЕМ ГАЗОСНАБЖЕНИЯ
02.02.05.01.05,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ УЛИЧНО-ДОРОЖНОЙ СЕТИ
02.02.05.01.10,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОЗДУШНОГО ТРАНСПОРТА
02.02.05.01.12,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОДНОГО ТРАНСПОРТА
02.02.05.02.07,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫМ ОБЪЕКТАМ
02.02.05.06.05,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА
02.02.05.06.07,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ КОММУНАЛЬНО-ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЫ
02.02.05.06.09,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ СВЯЗИ
02.02.05.09.02,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ПРОЧИМ ОБЪЕКТАМ ГРАДОСТРОИТЕЛЬНОЙ ПОЛИТИКИ
02.02.05.10,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ПРОГРАММЫ «БЕЗОПАСНЫЙ ГОРОД»
02.02.05.13.02,"ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ПРАВОСУДИЯ, ПРОКУРАТУРЫ, АДВОКАТУРЫ И НОТАРИАТА"
01.15.05.13,КОВРИКИ КАНЦЕЛЯРСКИЕ
01.15.08.02.01,ПАКЕТЫ ПОЧТОВЫЕ БУМАЖНЫЕ
01.06.99.02,"УЧЕБНО-ЛАБОРАТОРНОЕ ОБОРУДОВАНИЕ, ЗАКУПАЕМОЕ В РАМКАХ ПРОЕКТА «ТЕХНОСФЕРА СОВРЕМЕННОЙ ШКОЛЫ»"
02.02.01.01.03.03.01,РАЗРАБОТКА ПСД НА КАПИТАЛЬНЫЙ РЕМОНТ НЕЖИЛЫХ ЗДАНИЙ ОБЩЕГО НАЗНАЧЕНИЯ
02.02.05.13.03,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО АДМИНИСТРАТИВНО-УПРАВЛЕНЧЕСКИМ ОБЪЕКТАМ
02.02.05.14.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ МНОГОФУНКЦИОНАЛЬНЫХ ЦЕНТРОВ (КОМПЛЕКСОВ)
02.02.05.16.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ПРОМЫШЛЕННО-ПРОИЗВОДСТВЕННЫМ ОБЪЕКТАМ
02.02.05.16.02,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СКЛАДСКИМ ОБЪЕКТАМ
02.02.05.18.01,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ДАМБЫ
02.02.05.22.02,ВЫПОЛНЕНИЕ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ПОЖАРНОЙ БЕЗОПАСНОСТИ
02.02.06.02,РАЗРАБОТКА ПРОЕКТОВ АРХИТЕКТУРНО-ХУДОЖЕСТВЕННОЙ ПОДСВЕТКИ
02.03.02.02.02.02,РАБОТЫ ПО МОНТАЖУ СИСТЕМ ОСВЕЩЕНИЯ ДЛЯ АВТОДОРОГ
02.03.02.02.09,СТРОИТЕЛЬСТВО ЭЛЕКТРИЧЕСКИХ СЕТЕЙ НА ТРАНСПОРТНЫХ ОБЪЕКТАХ
02.03.02.03.01,СТРОИТЕЛЬСТВО ТЕПЛОВЫХ КАМЕР
02.03.02.06.01,СТРОИТЕЛЬСТВО ГАЗОПРОВОДОВ
02.03.02.07.02,СТРОИТЕЛЬСТВО ОЧИСТНЫХ СООРУЖЕНИЙ
02.03.02.09,УСТРОЙСТВО ОГРАЖДЕНИЙ И ЗАБОРОВ
02.04.01.01.02,РЕКОНСТРУКЦИЯ ОБЩЕЖИТИЙ
02.04.01.02.02,"РЕКОНСТРУКЦИЯ СПОРТИВНЫХ СООРУЖЕНИЙ, МЕСТ ОТДЫХА, МЕДИЦИНСКИХ СООРУЖЕНИЙ"
02.04.03.06,РЕКОНСТРУКЦИЯ ОБЪЕКТОВ ГАЗОСНАБЖЕНИЯ
03.31.03.04,АРЕНДА АВТОБУСОВ
01.19.02.99,ОДЕЖДА ДЛЯ ДЕТЕЙ ПРОЧАЯ
02.05.02.07,РЕМОНТ КАПИТАЛЬНЫЙ ОБЪЕКТОВ ВОДОСНАБЖЕНИЯ И КАНАЛИЗАЦИИ
02.05.02.07.02,РЕМОНТ КАПИТАЛЬНЫЙ ОЧИСТНЫХ СООРУЖЕНИЙ
02.05.99,РЕМОНТ КАПИТАЛЬНЫЙ ПРОЧИХ ОБЪЕКТОВ
02.06.01.01.01,РЕМОНТ ТЕКУЩИЙ МНОГОКВАРТИРНЫХ ЖИЛЫХ ДОМОВ
02.06.01.01.04,РЕМОНТ ТЕКУЩИЙ ЖИЛЫХ ПОМЕЩЕНИЙ
02.06.02.03.01,РЕМОНТ ТЕКУЩИЙ ТЕПЛОВЫХ КАМЕР
02.06.03,РЕМОНТ ТЕКУЩИЙ ТЕРРИТОРИЙ
02.06.03.03,РЕМОНТ ТЕКУЩИЙ ДВОРОВЫХ ТЕРРИТОРИЙ
02.11.01,РЕМОНТ ТРАНСПОРТА
02.11.02,РЕМОНТ СПЕЦТЕХНИКИ
02.03.02.02.02,СТРОИТЕЛЬСТВО ОБЪЕКТОВ ДОРОЖНОГО ХОЗЯЙСТВА
02.11.03.03,"РЕМОНТ ВЕНТИЛЯЦИОННОГО, КЛИМАТИЧЕСКОГО ОБОРУДОВАНИЯ"
02.17.01.99,ИЗГОТОВЛЕНИЕ ИЗДЕЛИЙ ИЗ КОМБИНАЦИИ РАЗЛИЧНЫХ МАТЕРИАЛОВ
02.13,"РАБОТЫ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЕ, ОПЫТНО-КОНСТРУКТОРСКИЕ"
02.17.04.06,ОТДЕЛКА ПОЛИГРАФИЧЕСКОЙ ПРОДУКЦИИ (ВКЛЮЧАЯ ЛАМИНИРОВАНИЕ)
02.13.01,РАБОТЫ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ (НИР)
02.17.04.07.01,ИЗГОТОВЛЕНИЕ КОПИЙ ДОКУМЕНТОВ
02.13.01.01,РАБОТЫ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ В СФЕРЕ ЕСТЕСТВЕННЫХ НАУК
02.17.06.05,ИЗГОТОВЛЕНИЕ ПЛОМБ
02.13.01.02.04,РАБОТЫ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ В СФЕРЕ СОЦИОЛОГИИ
02.17.07,СОЗДАНИЕ ПРОДУКЦИИ В СФЕРЕ КУЛЬТУРЫ И ИСКУССТВА
02.13.01.02.83,РАБОТЫ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ В СФЕРЕ СТАТИСТИКИ
02.17.07.01,СОЗДАНИЕ КИНО-ВИДЕО ПРОДУКЦИИ
02.13.01.02.84,РАБОТЫ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ В СФЕРЕ СТАНДАРТИЗАЦИИ
03,УСЛУГИ
02.13.03.50.01,НИОКР ПО СОЗДАНИЮ ИНФОРМАЦИОННЫХ СИСТЕМ
03.01.05.01,МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ ВНЕ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ
03.01.06,МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ
03.01.06.02,МЕДИЦИНСКАЯ ПОМОЩЬ СКОРАЯ СПЕЦИАЛИЗИРОВАННАЯ В АМБУЛАТОРНЫХ УСЛОВИЯХ
03.01.09,"ПРОВЕДЕНИЕ МЕДИЦИНСКИХ ОСМОТРОВ, ОСВИДЕТЕЛЬСТВОВАНИЙ, ЭКСПЕРТИЗ"
03.01.09.02,ПРОВЕДЕНИЕ МЕДИЦИНСКИХ ОСВИДЕТЕЛЬСТВОВАНИЙ
03.01.99.01.05,ИССЛЕДОВАНИЯ БАКТЕРИОЛОГИЧЕСКИЕ
03.02.01,УСЛУГИ СОЦИАЛЬНО-БЫТОВЫЕ
03.07.99.04,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ РЕКЛАМНОГО ОБОРУДОВАНИЯ
03.10.02.05.01,ОБРАБОТКА ОГНЕЗАЩИТНАЯ ИЗДЕЛИЙ ИЗ ДЕРЕВА
03.17.03.05,УСЛУГИ ПРИГЛАШЕННЫХ АКТЕРОВ
01.11.03.01.02,МЕТАЛЛОПРОКАТ (КРОМЕ ТРУБ И ДЕТАЛЕЙ ТРУБОПРОВОДОВ) ИЗ ЧЕРНЫХ МЕТАЛЛОВ
01.15.05.01.05,СТОЙКИ ДЛЯ КАНЦЕЛЯРСКИХ ПРИНАДЛЕЖНОСТЕЙ
02.04.03.05.01,РЕКОНСТРУКЦИЯ ЭЛЕКТРОСТАНЦИЙ
03.06.01.01.01.10,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОЗДУШНОГО ТРАНСПОРТА
03.06.01.01.02.03,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ УЧРЕЖДЕНИЙ ЗДРАВООХРАНЕНИЯ В ОБЛАСТИ МАТЕРИНСТВА И ДЕТСТВА
03.06.01.01.02.04,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ПРОЧИМ ОБЪЕКТАМ ЗДРАВООХРАНЕНИЯ
03.06.01.01.02.08,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ВСПОМОГАТЕЛЬНЫМ ОБЪЕКТАМ ЗДРАВООХРАНЕНИЯ
03.06.01.01.03,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ВОСПИТАНИЯ И ОБУЧЕНИЯ
03.06.01.01.04.01,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ
03.06.01.01.04.03,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО СПЕЦИАЛИЗИРОВАННЫМ ОБЪЕКТАМ ДЛЯ ПРОЖИВАНИЯ БЕЗ СПЕЦИАЛИЗИРОВАННОГО МЕДИЦИНСКОГО ОБСЛУЖИВАНИЯ
03.06.01.01.05,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ЖИЛЫМ ОБЪЕКТАМ
03.06.01.01.05.01,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ЖИЛЫХ ДОМОВ
03.06.01.01.05.02,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ОБЩЕЖИТИЯ
03.06.01.01.06.01,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ ЭЛЕКТРОСНАБЖЕНИЯ
03.06.01.01.06.07,УСЛУГИ ТЕХНИЧЕСКОГО ЗАКАЗЧИКА НА ПЕРИОД ВЫПОЛНЕНИЯ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИХ РАБОТ ПО ОБЪЕКТАМ КОММУНАЛЬНО-ИНЖЕНЕРНОЙ ИНФРАСТРУКТУРЫ
